round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,first_neuron,fourth_neuron,loss,optimizer,second_neuron,third_neuron
100,0.623622656,0.75,0.446116938,0.629629641,<function linear at 0x000001AA17118048>,10,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,48
100,0.624565721,0.75,0.445988952,0.62962963,<function linear at 0x000001AA17118048>,10,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,48
100,0.625155151,0.75,0.444267792,0.629629652,<function linear at 0x000001AA17118048>,20,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,84
100,0.625196338,0.75,0.444569157,0.62962963,<function linear at 0x000001AA17118048>,10,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,36
100,0.62543273,0.75,0.444426777,0.629629641,<function linear at 0x000001AA17118048>,10,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,48
100,0.626923025,0.75,0.443467332,0.629629652,<function linear at 0x000001AA17118048>,20,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,48
100,0.627354264,0.75,0.445030071,0.629629619,<function linear at 0x000001AA17118048>,20,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,62
100,0.627868772,0.75,0.447383703,0.62962963,<function linear at 0x000001AA17118048>,10,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,62
100,0.628033161,0.75,0.444363119,0.629629641,<function linear at 0x000001AA17118048>,10,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,84
100,0.628830194,0.75,0.447079594,0.629629635,<function linear at 0x000001AA17118048>,10,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,36
100,0.629355252,0.75,0.444453877,0.629629622,<function linear at 0x000001AA17118048>,10,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,48
100,0.629774928,0.75,0.446552528,0.666666653,<function linear at 0x000001AA17118048>,20,12,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,36
100,0.629927278,0.75,0.444644805,0.629629644,<function linear at 0x000001AA17118048>,10,8,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,62
100,0.630175471,0.75,0.444470474,0.629629622,<function linear at 0x000001AA17118048>,20,24,24,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,36
100,0.630820632,0.75,0.446367023,0.629629622,<function linear at 0x000001AA17118048>,10,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,62,36
100,0.63105917,0.75,0.446174721,0.666666664,<function linear at 0x000001AA17118048>,10,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,62
100,0.631136775,0.75,0.44607369,0.629629652,<function linear at 0x000001AA17118048>,20,24,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,48
100,0.631151199,0.75,0.443338325,0.62962963,<function linear at 0x000001AA17118048>,10,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,36
100,0.631957889,0.75,0.445224927,0.629629619,<function linear at 0x000001AA17118048>,20,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,36
100,0.631987274,0.75,0.444649979,0.703703699,<function linear at 0x000001AA17118048>,20,12,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,84,36
100,0.632200241,0.75,0.44811947,0.629629622,<function linear at 0x000001AA17118048>,20,24,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,36
100,0.632477283,0.75,0.446226142,0.629629622,<function linear at 0x000001AA17118048>,20,8,8,<function mean_squared_error at 0x000001AA170D2950>,Adam,36,36
100,0.63316381,0.75,0.443846177,0.629629641,<function linear at 0x000001AA17118048>,10,12,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,84
100,0.633251488,0.75,0.385061363,0.666666664,<function relu at 0x000001AA17107D08>,20,8,12,<function mean_squared_error at 0x000001AA170D2950>,Adam,48,48
